id,value
almond,1.88
almond covered with chocolate,4.8
almond milk,0.42
almond paste,2.98
apple,0.25
apple juice,2.84
apples,0.3
apricot,0.3
artichoke,0.33
asiago,10.24
asparagus,0.83
avocado,0.815
azuki bean flour,1.32
bacon,4.03
banana,0.653
barley,0.48
beer,1.1
barnacle,2.3
bean,0.43
beans,1.77
beans in can,0.11
beef (beef herd),59.6
beef (dairy herd),21.1
beef bone free meat,25.75
beef meat with bone,17.96
beer in can,0.69
beer in glass,0.96
beer modular can,0.53
beet sugar,1.17
beetroot,0.25
berries & grapes,1.1
blackberry,0.42
blueberry,0.78
blueberry juice,3
brassicas,0.4
bread frozen,1.31
bread multicereal,0.7
bread plain,0.89
bread whole,0.77
broccoli,0.57
buckwheat flour,1.96
buffalo bone free meat,78.8
buffalo milk,3.57
butter,8.48
cabagge,0.23
cakes and croissant,2.14
camembert,7.55
cane sugar,1.61
carrob,1.1
carrot,0.24
carrots,0.27
carrots canned,1.6
cashew nut,1.38
cassava,0.9
cauliflower,0.31
ceddar,11.21
celery,0.32
cheese,15.065
cheese semi-hard,8.65
cherry,0.46
chestnut,0.44
chicken bone free meat,3.68
chicken meat with bone,2.82
chickpea,0.77
chilly,0.8
chocolate,6.6
chocolate or cream filled cookies,1.53
citrus fruit,0.3
clementine,0.41
cocoa cakes and croissant,1.94
coconut,1.78
coconut milk,0.41
cod,3.03
cod fish stick,2.14
coffee,16.5
coffee drip filtered,0.6
coffee ground,5.13
coffee parchment,8.29
coffee soluble powder,0.33
corn canned,1.36
cornflakes,2.64
cow milk,1.31
cowpea,0.49
cranberry,0.87
cranberry juice,2.88
cream,5.45
crispbread,1.35
cucumber,2.55
currant,0.64
cuttlefish,5.05
dark chocolate,10.705
date,0.6
diamond fish,6.02
duck meat bone free,4.1
duck meat with bone,2.07
durum wheat,0.47
eel,3.88
egg pasta,3.15
eggplant,1.545
egg,3.85
emmental,8.2
emu bone free meat,1.5
espresso,0.55
exotic fruit,2.43
fennel,0.48
fig,0.26
fig juice,3.2
fish (farmed),5.1
fish mixed,4.99
fish stick,2.26
flatfish,6.41
flathead,2.56
flavored crackers,0.93
fork beard,8.01
garlic,0.71
gerkin,1.165
ginger,0.88
goat cheese,8.35
goat milk,1.44
gooseberry,0.84
graham flour,0.47
grana padano,15.34
grapes,0.31
green bean (fresh),0.4
green beans,2.74
green beans in can,1.45
groundnuts,2.4
guava,0.28
haddock,3.1
haddock,3.72
hake,10.4
hake fish stick,2.14
hazelnut,1.11
hazelnut covered with chocolate,3.43
hazelnut cream,2.71
hazelnut paste,1.69
herring,1.24
herring,1.3
honey,1.74
ice cream,1.02
kangaroo meat,4.1
ketchup,1.46
kiwi,0.49
kiwi juice,2.84
krill,5.54
lamb & mutton,24.5
lamb bone free meat,25.23
lamb meat with bone,16.7
lemon,0.22
lentil,1.03
lettuce,1.54
lime,0.22
ling,6.45
lobster,20.25
mackerel,1.8
mackerel,0.99
maize,0.48
maize (meal),1.1
maize flour,1.31
makerel fish stick,1.02
mandarin,0.45
mango,0.31
mango juice,2.96
margarine,1.39
mascarpone,5.7
mayonnaise,2.04
mealworms,2.84
megrim,14.15
melon,0.61
milk,2.8
milk chocolate,3.6
millet,0.86
millet flour,1.37
mineral water,0.49
mixed fish ,1.04
mixed nuts,0.47
mozzarella,8.2
mung bean flour,1.49
mushroom,2.06
mussels,0.46
nuts,0.2
oat,0.67
oat meal,0.87
oatmeal,1.6
octopus,5.8
octopus,7.88
olive oil,4.635
olives,0.64
onion,0.22
onions & leeks,0.3
orange,0.3
orange juice,0.46
other fruit,0.7
other pulses,1.6
other vegetables,0.5
palm nut,0.8
palm oil,5.015
parmigiano reggiano,12.54
pasta,1.21
pea,0.45
peach,0.39
peanut,0.83
peanut butter,1.15
peanut oil,2.9
peanut paste,1.84
pear,0.27
pear juice,0.49
peas,0.8
pecorino,17.15
pepper,1.853
pesto,2.71
pesto without garlic,2.72
pig meat,7.2
pilchard,1.1
pineapple,0.415
pineapple juice,2.78
pistachio,1.6
plaice,6.13
plain crackers,1.35
plum,0.26
pollock,1.4
pollock,0.9
pollock stick ,2.14
pomegranate,0.745
pomelo,0.51
pomfret,6.63
porbeagle,11.44
pork bone free meat,5.72
pork ham,7.95
pork meat with bone,3.44
pork neck,4.03
pork sausages,17.94
potato,0.24
potatoes,0.3
poultry meat,6.1
prawns/shrimps,7.04
prawns/shrimps,15.07
pumpkin,0.24
quinoa,0.97
quorne,2.5
rabbit meat with bone,4.31
radish,0.15
raisin,0.81
rape seed,0.78
rapeseed oil,2.745
raspberries,1.18
raspberry,3.99
rhombus,8.41
rice,3.095
rice milk,0.66
ricotta,3.4
rock fish,6.94
rockmelon,0.39
root vegetables,0.3
rye,0.38
salmon,3.37
salmon,1.61
sardine,0.9
sea-bass,3.6
sesam seed,0.88
shark,11.44
shrimps (farmed),11.8
simple cookies,1.39
snails (escargot),0.73
sole,5.4
sole,14.28
sorghum,0.88
sorghum flour,1.33
soy burger,1.48
soy cream,1.62
soy meal,0.62
soy milk,0.78
soy yogurt,1.36
soybean,0.56
soybean oil,3.895
soymilk,1
spinach,0.34
squid,6.91
starchy roots,0.29
stracchino,4.92
strawberry,1.443
strawberry juice,2.68
sunflower oil,2.24
sunflower seed,1.16
swardfish,12.84
swede,0.29
sweet potato,0.27
tangerin,0.38
tempe,1.1
tofu,2.635
tomato,1.263
tomato & basil,1.14
tomato arrabbiata,1.24
tomato chopped,1.47
tomato peeled,1.3
tomato puree,1.03
tomatoes,1.4
trout,4.2
trout,4.38
tuna,3.68
tuna,2.64
tuna in can,2.1
turbot,14.51
turkey meat bone free,4.08
turkey meat with bone,2.13
turnip,0.35
vanilla,4.3
vegetables,0.54
walnut,2.06
watermelon,0.52
wheat,0.57
wheat & rye,1.4
wheat plain flour,0.52
whiting,2.66
whole wheat flour,0.36
wholegrain crackers,0.97
wine,1.4
wine red,0.87
wine white,0.44
yeast compressed,0.82
yeast dried,3.29
yeast liquid,0.5
yogurt flavoured,2.85
yogurt lactose free,3.47
yogurt white,1.69
zucchini,1.235
zucchini,1.35
dessert, 4.852
seafood, 8.434
bread, 2.3869
fried food, 4.3352
meat, 24.23428571
dairy product, 12.9346
rice, 2.5641
noodles-pasta, 2.7189
soup, 5.6379
vegetables-fruit, 0.8005294118